LogDebug:mfReceiveAndForward:/scratch/workspace/otsdaq-release-build/SLF7/s128-e20-prof/build/otsdaq_utilities/v2_08_00-buildFW/src/otsdaq-utilities/Console/MF_ReceiveAndForward.cpp [117 |	Starting...


LogDebug:mfReceiveAndForward:/scratch/workspace/otsdaq-release-build/SLF7/s128-e20-prof/build/otsdaq_utilities/v2_08_00-buildFW/src/otsdaq-utilities/Console/MF_ReceiveAndForward.cpp [125 |	port parameter file:/home/mu2edaq/otsdaq_demo/srcs/otsdaq_demo/NoGitData/MessageFacilityConfigurations/QuietForwarder.cfg


LogDebug:mfReceiveAndForward:/scratch/workspace/otsdaq-release-build/SLF7/s128-e20-prof/build/otsdaq_utilities/v2_08_00-buildFW/src/otsdaq-utilities/Console/MF_ReceiveAndForward.cpp [149 |	Forwarding from: 30000 to: 127.0.0.1:30001


LogDebug:mfReceiveAndForward:/scratch/workspace/otsdaq-release-build/SLF7/s128-e20-prof/build/otsdaq_utilities/v2_08_00-buildFW/src/otsdaq-utilities/Console/MF_ReceiveAndForward.cpp [221 |	set socket receive size to 0x1400000.
LogDebug:mfReceiveAndForward:/scratch/workspace/otsdaq-release-build/SLF7/s128-e20-prof/build/otsdaq_utilities/v2_08_00-buildFW/src/otsdaq-utilities/Console/MF_ReceiveAndForward.cpp [231 |	set socket receive size verified at 0x68000.
LogDebug:mfReceiveAndForward:/scratch/workspace/otsdaq-release-build/SLF7/s128-e20-prof/build/otsdaq_utilities/v2_08_00-buildFW/src/otsdaq-utilities/Console/MF_ReceiveAndForward.cpp [454 |	Pack count ==> 22 sz=4800
LogDebug:mfReceiveAndForward:/scratch/workspace/otsdaq-release-build/SLF7/s128-e20-prof/build/otsdaq_utilities/v2_08_00-buildFW/src/otsdaq-utilities/Console/MF_ReceiveAndForward.cpp [506 |	WrapAvoid Pack count ==> 13 sz=3499
LogDebug:mfReceiveAndForward:/scratch/workspace/otsdaq-release-build/SLF7/s128-e20-prof/build/otsdaq_utilities/v2_08_00-buildFW/src/otsdaq-utilities/Console/MF_ReceiveAndForward.cpp [454 |	Pack count ==> 18 sz=4946
LogDebug:mfReceiveAndForward:/scratch/workspace/otsdaq-release-build/SLF7/s128-e20-prof/build/otsdaq_utilities/v2_08_00-buildFW/src/otsdaq-utilities/Console/MF_ReceiveAndForward.cpp [506 |	WrapAvoid Pack count ==> 13 sz=3419
LogDebug:mfReceiveAndForward:/scratch/workspace/otsdaq-release-build/SLF7/s128-e20-prof/build/otsdaq_utilities/v2_08_00-buildFW/src/otsdaq-utilities/Console/MF_ReceiveAndForward.cpp [454 |	Pack count ==> 18 sz=4828
LogDebug:mfReceiveAndForward:/scratch/workspace/otsdaq-release-build/SLF7/s128-e20-prof/build/otsdaq_utilities/v2_08_00-buildFW/src/otsdaq-utilities/Console/MF_ReceiveAndForward.cpp [506 |	WrapAvoid Pack count ==> 13 sz=3708
LogDebug:mfReceiveAndForward:/scratch/workspace/otsdaq-release-build/SLF7/s128-e20-prof/build/otsdaq_utilities/v2_08_00-buildFW/src/otsdaq-utilities/Console/MF_ReceiveAndForward.cpp [454 |	Pack count ==> 20 sz=4896
